Data_Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2020-01-31,164.8,950.3533602150538,950.621370967742,950.0842741935484,1576.7022779043282,25.965725806451612,20.781854838709677,26.63467741935484,25.31048387096774,21.329032258064515,20.24744623655914,78.10349462365592,71.42204301075269,74.84543010752688,125.6747311827957,5.169086021505376,2.1861559139784945
2020-02-29,227.2,951.6647988505747,951.9433908045977,951.3883620689655,1406.3516049382717,25.153160919540227,20.61537356321839,25.815086206896552,24.495402298850575,21.157183908045976,20.10718390804598,80.87212643678161,74.316091954023,77.57614942528735,115.6882183908046,4.879741379310345,1.9998563218390806
2020-03-31,80.2,952.2748655913979,952.5239247311829,952.0260752688172,1654.0911547911546,26.47217741935484,17.311559139784944,27.24005376344086,25.715994623655916,17.98508064516129,16.7,63.251344086021504,56.36021505376344,59.72715053763441,103.50537634408602,5.722311827956989,2.7259408602150534
2020-04-30,90.2,954.62375,954.85125,954.3930555555555,1599.1013661202185,23.99277777777778,15.009065550906556,24.70861111111111,23.273194444444446,15.595111731843575,14.449441340782123,62.47206703910614,56.15642458100559,59.32914923291492,101.78611111111111,5.648611111111111,2.7827777777777776
2020-05-31,182.6,956.0567967698519,956.292866756393,955.821534320323,1277.809549071618,20.383041722745627,12.30041208791209,21.08815612382234,19.691520861372812,12.833012379642366,11.764786795048144,65.71291208791209,59.58379120879121,62.64148351648352,102.2328398384926,5.5960969044414535,2.813593539703903
2020-06-30,41.2,955.2584722222222,955.4929166666667,955.0304166666667,1021.9414438502673,21.764722222222222,15.323538011695906,22.344166666666666,21.194444444444443,15.709090909090909,14.94516129032258,70.49413489736071,65.5425219941349,68.13304093567251,96.02638888888889,5.8718055555555555,2.9572222222222218
2020-07-31,4.0,955.4162634408601,955.6391129032259,955.1783602150537,1234.5676470588235,21.606048387096774,11.251362397820163,22.379166666666666,20.85497311827957,11.745640326975476,10.76117166212534,57.47275204359673,51.59945504087194,54.5299727520436,87.7513440860215,6.418010752688172,3.278225806451613
2020-08-31,35.6,954.8452316076294,955.1216621253407,954.5764305177112,1418.5989130434784,23.545776566757493,8.83092643051771,24.289100817438694,22.835558583106266,9.332288828337875,8.350953678474115,46.6008174386921,42.13623978201635,44.39645776566758,92.23841961852861,7.828882833787466,4.076021798365123
2020-09-30,8.4,952.6990277777778,952.9537499999999,952.447361111111,1483.4997409326425,27.850416666666664,10.760555555555555,28.75652777777778,26.940694444444443,11.42,10.132222222222222,42.55277777777778,37.144444444444446,39.7625,111.62777777777778,6.500138888888889,3.2073611111111116
2020-10-31,150.4,950.7743279569892,951.0756720430109,950.4670698924731,1439.1424691358025,27.012096774193548,16.135205479452054,27.829704301075267,26.24771505376344,16.660247592847316,15.54099037138927,58.87757909215956,52.77716643741403,56.087671232876716,112.28091397849462,6.568279569892473,3.056451612903226
2020-11-30,100.4,951.3641666666666,951.6491666666667,951.0875,1818.8831683168319,25.94111111111111,14.837026647966338,26.801527777777775,25.109166666666663,15.543037974683545,14.136849507735583,57.81997187060478,51.03938115330521,54.546984572230016,112.94305555555556,6.25125,2.809861111111111
2020-12-31,96.39999999999999,950.5831989247312,950.8693548387098,950.2915322580645,1604.4411494252874,25.978091397849465,19.05474552957359,26.747043010752687,25.197043010752687,19.627922971114167,18.486382393397523,71.53232462173315,64.3576341127923,67.88720770288859,120.4986559139785,5.835483870967742,2.1938172043010753
2021-01-31,387.2,951.1427419354839,951.438440860215,950.8518817204301,1251.9782110091744,24.355510752688172,20.818005952380954,25.0125,23.73951612903226,21.34631578947368,20.293533834586466,84.0781954887218,76.69924812030075,80.69345238095238,105.40456989247312,4.035483870967742,0.7989247311827957
2021-02-28,112.60000000000001,950.8138392857143,951.0903273809523,950.5415178571429,1492.2566666666667,24.726934523809526,18.081026438569207,25.48392857142857,23.984672619047622,18.739150943396226,17.36383647798742,72.14128728414443,64.36263736263736,68.57387247278382,123.05803571428571,3.6358630952380957,0.6014880952380952
2021-03-31,65.0,951.9952956989247,952.2620967741935,951.7197580645161,1541.9466165413533,24.88279569892473,18.904481792717085,25.6502688172043,24.142741935483873,19.515870786516853,18.292696629213484,74.78511235955057,67.08567415730337,71.06862745098039,117.13440860215054,3.349731182795699,0.5169354838709678
2021-04-30,53.6,953.6401388888889,953.8830555555556,953.3880555555556,1468.1370165745855,24.205416666666668,15.235294117647058,24.9625,23.48111111111111,15.746207865168538,14.726544943820224,62.6502808988764,56.436797752808985,59.65686274509804,110.1125,4.1674999999999995,0.8998611111111111
2021-05-31,34.0,955.3272849462365,955.554435483871,955.0969086021505,1158.0334217506631,22.503629032258065,13.424651810584958,23.215725806451612,21.788306451612904,13.86204481792717,12.896078431372548,61.635854341736696,55.90896358543417,59.032033426183844,108.47446236559139,3.4013440860215054,0.6369623655913978
2021-06-30,52.0,956.0359011627907,956.2723837209303,955.7982558139535,1073.0352435530085,20.80857558139535,13.388,21.486046511627908,20.152906976744188,13.779761904761905,12.97455357142857,67.84821428571429,62.35863095238095,65.21481481481482,104.4578488372093,3.894186046511628,0.6835755813953489
2021-07-31,1.8,957.5712871287129,957.808062234795,957.3468175388966,1308.9558011049724,20.690240452616692,4.311598302687412,21.53762376237624,19.833946251768033,4.844978783592645,3.7697312588401695,39.95473833097596,35.046676096181045,37.68518518518518,93.77934936350778,4.950212164073551,1.0001414427157003
2021-08-31,34.199999999999996,955.477688172043,955.7423387096775,955.2255376344086,1427.3509383378016,23.881317204301077,8.504166666666666,24.759811827956987,23.028494623655916,8.907661290322581,8.087096774193549,44.473118279569896,39.903225806451616,42.178763440860216,91.34274193548387,5.591397849462366,1.2466397849462365
2021-09-30,27.0,952.478611111111,952.7590277777778,952.2070833333333,1495.285488126649,27.490972222222222,12.445201668984701,28.373194444444444,26.619444444444444,13.015181058495822,11.906406685236767,46.059888579387184,40.53481894150418,43.2990264255911,101.70416666666667,5.1627777777777775,0.8859722222222222
2021-10-31,179.79999999999998,951.3903225806451,951.7159946236559,951.0657258064516,1366.0943349753695,25.329032258064515,17.663022941970308,25.953494623655917,24.726478494623656,18.229689608636978,17.12361673414305,67.84885290148448,62.095816464237515,65.00539811066128,108.73924731182795,5.964381720430108,1.518279569892473
2021-11-30,251.6,950.1306944444444,950.4375,949.8286111111111,1607.2893203883493,27.049027777777777,21.453611111111112,27.451805555555556,26.654999999999998,21.87361111111111,21.046666666666667,73.59166666666667,70.6375,72.15694444444445,127.53194444444445,4.926666666666667,1.255138888888889
2021-12-31,149.8,949.1370967741935,949.4064516129033,948.868682795699,1644.5451612903225,27.32782258064516,21.626478494623658,27.69462365591398,26.967741935483872,22.045295698924733,21.212096774193547,72.69489247311827,70.28629032258064,71.50806451612904,126.40591397849462,3.860752688172043,0.8955645161290322
2022-01-31,116.60000000000001,950.1512096774194,950.4260752688172,949.8731182795699,1526.752995391705,26.927419354838708,21.863844086021505,27.32782258064516,26.526881720430108,22.23534946236559,21.486155913978497,74.99596774193549,72.94220430107526,74.02284946236558,98.7997311827957,3.6849462365591394,0.669489247311828
2022-02-28,71.0,950.9799107142857,951.2574404761905,950.7022321428572,1593.0341025641028,26.959226190476187,21.335267857142856,27.356250000000003,26.56309523809524,21.724107142857143,20.926785714285714,72.84970238095238,70.50744047619048,71.74702380952381,93.8422619047619,3.5034226190476194,0.6550595238095238
2022-03-31,212.0,951.860752688172,952.1282258064516,951.5837365591399,1313.2308860759495,26.366397849462363,21.262096774193548,26.733198924731184,26.013709677419357,21.587231182795698,20.943951612903223,74.96505376344086,72.88575268817205,73.96908602150538,110.23387096774194,3.4155913978494623,0.6975806451612904
2022-04-30,89.0,952.9983333333334,953.2406944444446,952.7552777777778,1511.4722222222222,25.628055555555555,18.949583333333333,26.03611111111111,25.227083333333333,19.31972222222222,18.61361111111111,68.59166666666667,66.31666666666666,67.4125,99.05,4.269027777777778,1.0766666666666667
2022-05-31,59.4,955.6333333333333,955.8715481171548,955.4037656903765,1290.859891598916,20.99804741980474,14.082984658298466,21.467782426778243,20.543514644351465,14.439191073919107,13.743793584379357,66.90794979079497,64.65690376569037,65.78103207810321,118.95258019525802,4.181032078103208,1.0882845188284518
2022-06-30,107.2,955.4430985915493,955.674647887324,955.2118309859155,1185.3296089385474,21.090422535211268,14.887464788732395,21.565774647887324,20.611408450704225,15.225633802816903,14.570140845070421,70.42112676056338,68.05633802816901,69.21408450704226,100.32112676056337,4.717887323943661,1.4654929577464788
2022-07-31,8.8,954.973987206823,955.2040511727079,954.7394456289978,1245.8639130434783,23.32857142857143,12.54861407249467,23.891684434968017,22.754797441364605,12.974413646055437,12.153304904051172,54.272921108742004,50.808102345415776,52.47121535181237,51.25373134328358,6.443283582089553,2.4658848614072495
2022-08-31,9.2,956.9918644067795,957.2579661016948,956.7718644067797,835.9277966101695,22.023389830508474,10.029491525423728,22.74406779661017,21.292881355932202,10.605423728813559,9.49591836734694,52.4,47.064625850340136,49.69152542372881,108.9186440677966,7.635374149659865,4.108813559322034
2022-09-30,174.2,953.21375,953.5288888888889,952.9093055555555,708.4125,22.85027777777778,14.271527777777777,23.472916666666666,22.239722222222223,14.753333333333332,13.822083333333333,64.39027777777778,59.32083333333333,61.8375,141.4375,7.322361111111111,3.7130555555555556
2022-10-31,114.8,951.8405913978495,952.1456989247312,951.5360215053764,856.107930107527,24.204973118279568,16.577956989247312,24.8877688172043,23.55672043010753,17.1872311827957,16.029973118279568,68.56317204301075,62.185483870967744,65.35887096774194,157.83467741935485,6.364737550471063,3.053763440860215
2022-11-30,91.0,951.6312676056338,951.9059238363893,951.3586741889986,1089.0429577464788,24.082535211267604,13.007464788732394,24.81255289139633,23.340902679830748,13.68265162200282,12.3737658674189,56.393511988716504,50.413258110014105,53.346478873239434,152.89577464788732,6.997461212976022,3.403380281690141
2022-12-31,169.0,949.2846153846154,949.5652366863904,948.9826923076923,945.7022189349112,25.604142011834323,19.117603550295858,26.30369822485207,24.91449704142012,19.712130177514794,18.505325443786983,72.78994082840237,65.85650887573965,69.36242603550296,169.43407407407406,5.685481481481482,2.611851851851852
2023-01-31,342.4,950.7872311827956,951.0844086021506,950.486559139785,828.9225806451614,24.14005376344086,19.716263440860214,24.80282258064516,23.500940860215056,20.198521505376345,19.2002688172043,80.52553763440861,74.3024193548387,77.54166666666667,189.3472409152086,5.629594594594594,2.5156123822341856
2023-02-28,225.8,952.0482142857143,952.339880952381,951.7433035714286,801.6831845238095,23.79776785714286,19.535565476190477,24.40729166666667,23.215625,20.050595238095237,19.036011904761907,81.24107142857143,75.17113095238095,78.32738095238095,189.58867362146052,5.394642857142857,2.43532041728763
2023-03-31,203.6,952.4290148448043,952.7163292847504,952.1398110661269,826.1778677462888,24.62037786774629,19.675978407557356,25.307692307692307,23.968421052631577,20.240350877192984,19.160863697705803,78.81511470985156,72.13495276653171,75.5506072874494,150.62753036437246,5.152226720647773,2.3445344129554657
2023-04-30,140.6,952.7001388888889,952.9663888888889,952.4401388888889,743.3770833333333,23.325694444444444,18.121805555555557,23.984444444444442,22.70777777777778,18.663888888888888,17.61486111111111,77.36805555555556,71.13333333333334,74.34166666666667,149.28472222222223,5.0119444444444445,2.37375
2023-05-31,63.2,955.1860215053764,955.413440860215,954.9451612903225,627.8138440860215,22.276075268817205,14.453494623655914,22.923521505376343,21.633198924731182,14.992741935483872,13.955510752688172,66.95161290322581,61.19758064516129,64.01075268817205,116.55779569892474,5.294623655913978,2.688440860215054
